date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
25:42:37,08:05:27,485.45,1,8,19,45,17,23,23,37,24,N
25:42:37,08:11:36,491.6,1,8,19,46,17,24,24,37,24,N
25:42:37,08:17:46,497.7666667,1,8,19,48,17,24,25,37,24,N
25:42:37,08:23:56,503.9333333,1,8,19,48,18,25,25,37,24,N
25:42:37,08:30:11,510.1833333,1,8,20,50,18,25,30,37,24,N
25:42:37,08:36:22,516.3666667,1,9,20,50,18,27,25,36,24,N
25:42:37,08:42:32,522.5333333,1,9,20,50,18,28,26,37,24,N
25:42:37,08:48:43,528.7166667,1,9,21,51,18,29,31,37,24,N
25:42:37,08:54:52,534.8666667,1,9,21,51,18,29,31,37,24,N
26:42:37,08:04:22,484.3666667,1,8,19,46,17,23,29,40,24,N
26:42:37,08:10:31,490.5166667,1,8,19,46,17,24,24,40,24,N
26:42:37,08:16:41,496.6833333,1,8,19,47,17,25,24,40,24,N
26:42:37,08:22:51,502.85,1,8,19,47,18,27,25,39,24,N
26:42:37,08:29:00,509,1,8,20,49,18,27,26,39,24,N
26:42:37,08:35:10,515.1666667,1,9,20,49,18,29,26,38,24,N
26:42:37,08:41:19,521.3166667,1,9,20,50,18,29,26,39,24,N
26:42:37,08:47:30,527.5,1,9,20,50,18,30,26,39,24,N
26:42:37,08:53:42,533.7,1,9,21,50,18,30,27,39,24,N
26:42:37,08:59:53,539.8833333,1,9,21,51,18,31,26,39,24,N
20:42:37,08:02:27,482.45,1,8,19,45,16,24,22,38,24,N
20:42:37,08:08:37,488.6166667,1,8,19,56,16,25,23,37,25,N
20:42:37,08:14:46,494.7666667,1,8,19,56,17,25,24,37,25,N
20:42:37,08:20:56,500.9333333,1,8,19,55,17,28,24,37,25,N
20:42:37,08:27:05,507.0833333,1,8,20,54,17,28,26,37,24,N
20:42:37,08:33:14,513.2333333,1,8,20,54,17,29,26,37,24,N
20:42:37,08:39:19,519.3166667,1,9,20,53,17,29,26,36,24,N
20:42:37,08:45:29,525.4833333,1,9,20,53,17,30,25,36,24,N
20:42:37,08:51:38,531.6333333,1,9,21,52,17,31,26,37,24,N
20:42:37,08:57:49,537.8166667,1,9,21,52,18,31,25,37,25,N
21:42:37,08:13:06,493.1,1,8,19,49,17,25,24,37,25,N
21:42:37,08:19:18,499.3,1,8,20,50,18,28,25,37,25,N
21:42:37,08:25:29,505.4833333,1,8,20,48,18,29,25,36,25,N
21:42:37,08:31:40,511.6666667,1,8,20,49,18,29,25,36,25,N
21:42:37,08:37:46,517.7666667,1,9,21,50,18,30,26,36,24,N
21:42:37,08:43:58,523.9666667,1,9,21,51,18,30,26,36,24,N
21:42:37,08:50:09,530.15,1,9,21,50,18,31,26,37,24,N
21:42:37,08:56:15,536.25,1,9,21,51,19,32,26,36,24,N
22:42:37,08:01:51,481.85,1,8,19,44,17,23,23,38,24,N
22:42:37,08:08:01,488.0166667,1,8,19,45,17,24,29,37,24,N
22:42:37,08:14:12,494.2,1,8,19,45,17,24,30,37,24,N
22:42:37,08:20:22,500.3666667,1,8,19,46,18,26,31,37,24,N
22:42:37,08:26:32,506.5333333,1,8,20,46,18,27,31,37,24,N
22:42:37,08:32:38,512.6333333,1,8,20,53,18,28,31,37,24,N
22:42:37,08:38:48,518.8,1,9,20,48,18,28,34,37,24,N
22:42:37,08:46:12,526.2,1,9,21,49,18,29,26,37,24,N
22:42:37,08:52:22,532.3666667,1,9,21,49,18,29,34,37,24,N
22:42:37,08:58:33,538.55,1,9,21,50,18,29,26,37,24,N
23:42:37,08:49:49,529.8166667,1,8,20,36,16,17,21,36,24,N
23:42:37,08:55:59,535.9833333,1,8,20,36,16,17,21,37,24,N
24:42:37,08:17:01,497.0166667,1,8,18,32,16,16,20,31,23,N
24:42:37,08:23:13,503.2166667,1,8,18,32,16,16,20,32,23,N
24:42:37,08:29:23,509.3833333,1,8,18,32,16,16,20,32,23,N
24:42:37,08:35:32,515.5333333,1,8,19,33,16,16,20,32,23,N
24:42:37,08:41:42,521.7,1,8,19,33,15,16,20,32,23,N
24:42:37,08:47:51,527.85,1,8,19,33,15,16,20,32,23,N
24:42:37,08:54:01,534.0166667,1,8,19,32,15,16,20,32,23,N
