date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
25:42:37,20:02:22,1202.366667,13,10,23,46,30,20,33,41,31,N
25:42:37,20:08:34,1208.566667,13,10,23,47,31,20,33,41,30,N
25:42:37,20:14:44,1214.733333,13,10,22,47,30,20,33,41,29,N
25:42:37,20:21:07,1221.116667,13,10,22,47,30,20,32,41,29,N
25:42:37,20:27:18,1227.3,13,9,22,46,29,20,37,42,29,N
25:42:37,20:33:29,1233.483333,13,9,22,46,29,20,30,41,29,N
25:42:37,20:39:40,1239.666667,13,9,22,46,28,20,30,41,28,N
25:42:37,20:45:50,1245.833333,13,9,21,45,27,20,30,40,28,N
25:42:37,20:52:07,1252.116667,13,9,21,44,26,20,29,39,27,N
25:42:37,20:58:18,1258.3,13,9,21,44,26,19,29,40,27,N
26:42:37,20:00:44,1200.733333,13,12,23,50,34,20,35,42,32,N
26:42:37,20:06:55,1206.916667,13,10,22,50,34,20,34,43,35,N
26:42:37,20:13:10,1213.166667,13,11,22,45,34,20,36,43,34,N
26:42:37,20:19:28,1219.466667,13,9,22,45,32,20,35,43,34,N
26:42:37,20:25:42,1225.7,13,9,22,43,33,20,33,43,31,N
26:42:37,20:31:56,1231.933333,13,9,22,43,33,20,33,43,29,N
26:42:37,20:38:07,1238.116667,13,9,22,43,32,19,32,43,28,N
26:42:37,20:44:18,1244.3,13,9,22,42,32,19,31,42,28,N
26:42:37,20:50:34,1250.566667,13,9,21,42,32,19,29,41,28,N
26:42:37,20:56:43,1256.716667,13,9,21,42,31,19,29,42,27,N
19:42:37,20:08:51,1208.85,13,10,22,53,30,21,34,42,30,N
19:42:37,20:15:03,1215.05,13,10,22,50,29,21,34,42,30,N
19:42:37,20:24:43,1224.716667,13,9,22,49,31,20,33,43,29,N
19:42:37,20:31:15,1231.25,13,9,22,49,29,20,32,43,29,N
19:42:37,20:37:28,1237.466667,13,9,22,48,29,20,31,42,28,N
19:42:37,20:43:46,1243.766667,13,9,22,48,28,20,32,41,28,N
19:42:37,20:49:55,1249.916667,13,9,21,48,28,20,29,41,28,N
20:42:37,20:04:53,1204.883333,13,11,23,48,31,20,43,42,30,N
20:42:37,20:11:05,1211.083333,13,11,22,47,30,20,35,43,30,N
20:42:37,20:17:16,1217.266667,13,10,22,47,30,21,34,42,30,N
20:42:37,20:23:29,1223.483333,13,10,22,46,31,21,34,42,30,N
20:42:37,20:29:38,1229.633333,13,10,22,46,31,21,34,42,29,N
20:42:37,20:35:47,1235.783333,13,10,22,46,30,21,33,42,29,N
20:42:37,20:42:03,1242.05,13,9,22,47,30,20,34,41,29,N
20:42:37,20:48:16,1248.266667,13,9,21,46,30,20,33,41,29,N
20:42:37,20:54:21,1254.35,13,9,21,45,30,20,33,41,28,N
21:42:37,20:06:38,1206.633333,13,10,23,51,31,20,40,41,32,N
21:42:37,20:12:44,1212.733333,13,10,23,50,31,20,40,42,30,N
21:42:37,20:19:00,1219,13,10,23,49,32,20,40,41,31,N
21:42:37,20:25:23,1225.383333,13,10,22,49,30,20,35,41,29,N
21:42:37,20:31:35,1231.583333,13,10,22,49,31,20,34,41,29,N
21:42:37,20:37:52,1237.866667,13,10,22,49,31,20,35,41,28,N
21:42:37,20:44:05,1244.083333,13,9,22,49,31,20,34,41,28,N
21:42:37,20:50:22,1250.366667,13,9,22,48,30,20,33,40,28,N
21:42:37,20:56:36,1256.6,13,9,21,48,30,20,33,40,27,N
22:42:37,20:02:39,1202.65,13,11,23,54,29,21,40,42,30,N
22:42:37,20:08:49,1208.816667,13,11,23,53,30,21,39,43,30,N
22:42:37,20:14:59,1214.983333,13,11,23,53,29,21,39,43,29,N
22:42:37,20:21:14,1221.233333,13,10,22,50,30,20,38,42,29,N
22:42:37,20:27:25,1227.416667,13,10,22,49,30,20,38,42,29,N
22:42:37,20:33:32,1233.533333,13,10,22,48,30,20,37,42,29,N
22:42:37,20:39:45,1239.75,13,10,22,48,29,21,37,42,28,N
22:42:37,20:46:01,1246.016667,13,10,22,47,29,20,43,42,28,N
22:42:37,20:52:12,1252.2,13,10,21,46,29,20,41,42,28,N
22:42:37,20:58:22,1258.366667,13,10,21,45,29,20,37,41,28,N
23:42:37,20:04:37,1204.616667,13,10,24,60,22,20,25,43,32,N
23:42:37,20:10:48,1210.8,13,10,23,58,22,20,25,44,35,N
23:42:37,20:16:59,1216.983333,13,10,23,59,22,20,25,43,35,N
23:42:37,20:23:10,1223.166667,13,10,23,59,22,20,24,44,31,N
23:42:37,20:30:23,1230.383333,13,10,22,58,22,20,24,43,30,N
23:42:37,20:36:33,1236.55,13,10,22,56,21,20,23,43,30,N
23:42:37,20:42:46,1242.766667,13,10,22,59,21,20,23,43,30,N
23:42:37,20:49:08,1249.133333,13,9,22,55,21,20,23,43,30,N
23:42:37,20:55:33,1255.55,13,9,21,61,20,20,23,43,29,N
